change_request_id,table_name,change_type,n_keys_before,n_keys_after,key_tuple,column_name,old_value,new_value,notes
CR_T02_B,MORT_TABLE,row_add,4,4,70|1|PROD_B,Age,,70,
CR_T02_B,MORT_TABLE,row_add,4,4,70|1|PROD_B,Duration,,1,
CR_T02_B,MORT_TABLE,row_add,4,4,70|1|PROD_B,Product,,PROD_B,
CR_T02_B,MORT_TABLE,row_add,4,4,70|1|PROD_B,Rate,,0.002,
CR_T02_B,MORT_TABLE,row_add,4,4,70|1|PROD_B,Loading,,1.1,
CR_T02_B,MORT_TABLE,row_add,4,4,80|1|PROD_B,Age,,80,
CR_T02_B,MORT_TABLE,row_add,4,4,80|1|PROD_B,Duration,,1,
CR_T02_B,MORT_TABLE,row_add,4,4,80|1|PROD_B,Product,,PROD_B,
CR_T02_B,MORT_TABLE,row_add,4,4,80|1|PROD_B,Rate,,0.002,
CR_T02_B,MORT_TABLE,row_add,4,4,80|1|PROD_B,Loading,,1.1,
CR_T02_B,MORT_TABLE,row_add,4,4,90|1|PROD_B,Age,,90,
CR_T02_B,MORT_TABLE,row_add,4,4,90|1|PROD_B,Duration,,1,
CR_T02_B,MORT_TABLE,row_add,4,4,90|1|PROD_B,Product,,PROD_B,
CR_T02_B,MORT_TABLE,row_add,4,4,90|1|PROD_B,Rate,,0.002,
CR_T02_B,MORT_TABLE,row_add,4,4,90|1|PROD_B,Loading,,1.1,
CR_T02_B,MORT_TABLE,row_add,4,4,95|1|PROD_B,Age,,95,
CR_T02_B,MORT_TABLE,row_add,4,4,95|1|PROD_B,Duration,,1,
CR_T02_B,MORT_TABLE,row_add,4,4,95|1|PROD_B,Product,,PROD_B,
CR_T02_B,MORT_TABLE,row_add,4,4,95|1|PROD_B,Rate,,0.002,
CR_T02_B,MORT_TABLE,row_add,4,4,95|1|PROD_B,Loading,,1.1,
CR_T02_B,MORT_TABLE,row_add,4,4,99|1|PROD_B,Age,,99,
CR_T02_B,MORT_TABLE,row_add,4,4,99|1|PROD_B,Duration,,1,
CR_T02_B,MORT_TABLE,row_add,4,4,99|1|PROD_B,Product,,PROD_B,
CR_T02_B,MORT_TABLE,row_add,4,4,99|1|PROD_B,Rate,,0.002,
CR_T02_B,MORT_TABLE,row_add,4,4,99|1|PROD_B,Loading,,1.1,
CR_T02_B,MORT_TABLE,value_update,4,4,20|1|PROD_A,Rate,0.0012,0.0018,
